"indicativo","indsinop","nombre","provincia","altitud","longitud","latitud"
"5406X","","ALCAL<U+00C1> LA REAL","JAEN",908,-3.90805555555556,37.4975
"5412X","","PRIEGO DE C<U+00D3>RDOBA","CORDOBA",550,-4.20777777777778,37.4847222222222
"5427X","08412","DO<U+00D1>A MENC<U+00CD>A","CORDOBA",650,-4.35388888888889,37.5561111111111
"5429X","","C<U+00D3>RDOBA, PR<U+00C1>GDENA","CORDOBA",275,-4.46222222222222,37.8102777777778
"5459X","","ESPIEL","CORDOBA",465,-4.92861111111111,38.1111111111111
"5470","","FUENTE PALMERA","CORDOBA",120,-5.10055555555556,37.7530555555556
"5511","","PRADOLLANO, PARQUE NACIONAL SIERRA NEVADA","GRANADA",3092,-3.37138888888889,37.0644444444444
"5514","08420","GRANADA BASE A<U+00C9>REA","GRANADA",687,-3.63138888888889,37.1372222222222
"5514Z","08420","GRANADA BASE A<U+00C9>REA","GRANADA",695,-3.63333333333333,37.1361111111111
"5515D","08421","V<U+00CD>ZNAR","GRANADA",1258,-3.55055555555556,37.2369444444444
"5515X","","GRANADA-CARTUJA","GRANADA",775,-3.59555555555556,37.1897222222222
"5516D","08980","SIERRA NEVADA 'RADIOTELESCOPIO'","GRANADA",2856,-3.38694444444444,37.0630555555556
"5530E","08419","GRANADA AEROPUERTO","GRANADA",560,-3.78972222222222,37.1902777777778
"5582A","08414","LOJA","GRANADA",760,-4.15277777777778,37.1611111111111
"5598X","","BENAMEJ<U+00CD>","CORDOBA",465,-4.54777777777778,37.2308333333333
"5612B","08399","LA RODA DE ANDALUC<U+00CD>A","SEVILLA",410,-4.77,37.1944444444444
"5612X","","LORA DE ESTEPA","SEVILLA",450,-4.82694444444444,37.2702777777778
"5624X","","AGUILAR DE LA FRONTERA","CORDOBA",309,-4.68583333333333,37.4819444444444
"5625X","","LA RAMBLA","CORDOBA",200,-4.76388888888889,37.6386111111111
"5641X","08395","<U+00C9>CIJA","SEVILLA",130,-5.085,37.5161111111111
"5654X","","LA PUEBLA DE LOS INFANTES","SEVILLA",200,-5.37111111111111,37.7866666666667
"5656","","FUENTES DE ANDALUC<U+00CD>A","SEVILLA",165,-5.43305555555556,37.4972222222222
"5702X","","CARMONA","SEVILLA",50,-5.74055555555556,37.5655555555556
"5704B","08392","CAZALLA DE LA SIERRA","SEVILLA",550,-5.76972222222222,37.9263888888889
"5726X","","GUADALCANAL","SEVILLA",720,-5.81916666666667,38.0994444444444
"5733X","","ALMAD<U+00C9>N DE LA PLATA","SEVILLA",450,-6.075,37.7911111111111
"5769X","","CALA","HUELVA",618,-6.32222222222222,37.9736111111111
"5783","08391","SEVILLA AEROPUERTO","SEVILLA",34,-5.87916666666667,37.4166666666667
"5788X","","TOMARES, ZAUD<U+00CD>N","SEVILLA",84,-6.05972222222222,37.3616666666667
"5790Y","","SEVILLA, TABLADA","SEVILLA",9,-6.00583333333333,37.3641666666667
"5796","08397","MOR<U+00D3>N DE LA FRONTERA","SEVILLA",87,-5.61138888888889,37.1644444444444
"5835X","","CARRI<U+00D3>N DE LOS C<U+00C9>SPEDES","SEVILLA",76,-6.33416666666667,37.36
"5858X","","ALMONTE","HUELVA",5,-6.44305555555556,36.9886111111111
"5860E","08384","MOGUER, EL ARENOSILLO","HUELVA",41,-6.73805555555556,37.0980555555556
"5891X","","LAS CABEZAS DE SAN JUAN","SEVILLA",105,-5.84666666666667,36.9533333333333
"5906X","","CHIPIONA","CADIZ",10,-6.40055555555556,36.75
"5910","08449","ROTA, BASE NAVAL","CADIZ",21,-6.3325,36.6388888888889
"5911A","08455","GRAZALEMA","CADIZ",913,-5.37416666666667,36.7605555555556
"5919X","","OLVERA","CADIZ",530,-5.25944444444444,36.9316666666667
"5941X","","EL BOSQUE","CADIZ",295,-5.51222222222222,36.7294444444444
"5950X","","SAN JOS<U+00C9> DEL VALLE","CADIZ",105,-5.78333333333333,36.6638888888889
"5960","08451","JEREZ DE LA FRONTERA AEROPUERTO","CADIZ",27,-6.05583333333333,36.7505555555556
"5972X","08453","SAN FERNANDO","CADIZ",28,-6.20555555555556,36.4655555555556
"5973","08452","C<U+00C1>DIZ","CADIZ",2,-6.25777777777778,36.4997222222222
"5983X","","MEDINA SIDONIA","CADIZ",70,-5.92027777777778,36.4061111111111
"5995B","08457","VEJER DE LA FRONTERA","CADIZ",186,-5.965,36.2455555555556
"5996B","","BARBATE","CADIZ",4,-5.90944444444444,36.1847222222222
"5998X","","OSUNA","SEVILLA",255,-5.1125,37.2433333333333
"6001","08458","TARIFA","CADIZ",32,-5.59888888888889,36.0138888888889
"6032B","08443","RONDA","MALAGA",766,-5.16833333333333,36.7497222222222
"6032X","","RONDA INSTITUTO","MALAGA",760,-5.16861111111111,36.75
"6040X","","CORTES DE LA FRONTERA","MALAGA",315,-5.38638888888889,36.5444444444444
"6042I","","JIMENA DE LA FRONTERA","CADIZ",42,-5.395,36.4355555555556
"6045X","","ALPANDEIRE","MALAGA",676,-5.20305555555556,36.6325
"6050X","","GAUC<U+00CD>N","MALAGA",594,-5.31861111111111,36.5186111111111
"6056X","","SAN ROQUE","CADIZ",1,-5.28444444444444,36.2730555555556
"6057X","","MANILVA","MALAGA",140,-5.26,36.3783333333333
"6058I","08463","ESTEPONA","MALAGA",19,-5.155,36.4169444444444
"6069X","","BENAHAV<U+00CD>S","MALAGA",392,-5.02472222222222,36.5436111111111
"6076X","","MARBELLA, PUERTO","MALAGA",2,-4.95305555555556,36.4844444444444
"6083X","","MARBELLA","MALAGA",2,-4.74027777777778,36.4833333333333
"6084X","08480","FUENGIROLA","MALAGA",8,-4.61833333333333,36.5386111111111
"6088X","","TORREMOLINOS","MALAGA",85,-4.515,36.6205555555556
"6100B","","ANTEQUERA AYUNTAMIENTO (AUTOM<U+00C1>TICA THIES)","MALAGA",515,-4.5625,37.0238888888889
"6106X","08413","ANTEQUERA","MALAGA",408,-4.74833333333333,37.0294444444444
"6127X","","<U+00C1>LORA","MALAGA",172,-4.69666666666667,36.8547222222222
"6143X","","CO<U+00CD>N","MALAGA",230,-4.76083333333333,36.6577777777778
"6155A","08482","M<U+00C1>LAGA AEROPUERTO","MALAGA",7,-4.48222222222222,36.6661111111111
"6156X","08481","M<U+00C1>LAGA, CENTRO METEOROL<U+00D3>GICO","MALAGA",54,-4.48166666666667,36.7177777777778
"6172O","08479","M<U+00C1>LAGA, PUERTO","MALAGA",25,-4.41972222222222,36.7166666666667
"6172X","","M<U+00C1>LAGA","MALAGA",25,-4.41972222222222,36.7166666666667
"6175X","","RINC<U+00D3>N DE LA VICTORIA","MALAGA",7,-4.28611111111111,36.715
"6199X","","V<U+00C9>LEZ-M<U+00C1>LAGA","MALAGA",41,-4.09361111111111,36.7686111111111
"6201X","","ALGARROBO","MALAGA",35,-4.04388888888889,36.7558333333333
"6205X","08484","TORROX","MALAGA",3,-3.95722222222222,36.7263888888889
"6213X","","NERJA","MALAGA",169,-3.84527777777778,36.7627777777778
"6248D","","CA<U+00D1>AR, PARQUE NACIONAL SIERRA NEVADA","GRANADA",1732,-3.43027777777778,36.9522222222222
"6258X","","LANJAR<U+00D3>N","GRANADA",708,-3.4925,36.9230555555555
"6267X","","SALOBRE<U+00D1>A","GRANADA",20,-3.57861111111111,36.7483333333333
"6268X","08485","MOTRIL","GRANADA",12,-3.53027777777778,36.7227777777778
"6268Y","","MOTRIL, PUERTO","GRANADA",3,-3.52916666666667,36.7238888888889
"6272X","","CASTELL DE FERRO","GRANADA",235,-3.38,36.7341666666667
"6277B","08486","ADRA","ALMERIA",8,-3.02055555555556,36.7472222222222
"6281X","","V<U+00C1>LOR","GRANADA",1020,-3.07138888888889,37.0052777777778
"6291B","","EL EJIDO","ALMERIA",98,-2.81305555555556,36.7747222222222
"6293X","08492","ROQUETAS DE MAR","ALMERIA",3,-2.70166666666667,36.6869444444444
"6297","","ALMER<U+00CD>A","ALMERIA",7,-2.45555555555556,36.8311111111111
"6299I","","LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA","GRANADA",2300,-2.96444444444444,37.0958333333333
"6302A","08427","ABLA","ALMERIA",869,-2.78,37.1413888888889
"6307C","","LA<U+00DA>JAR, PARQUE NACIONAL SIERRA NEVADA","ALMERIA",1713,-2.89722222222222,37.0530555555556
"6307X","","L<U+00C1>UJAR DE ANDARAX","ALMERIA",1510,-2.9125,37.0333333333333
"6312E","","R<U+00C1>GOL, PARQUE NACIONAL SIERRA NEVADA","ALMERIA",601,-2.67722222222222,37.0208333333333
"6325O","08487","ALMER<U+00CD>A AEROPUERTO","ALMERIA",21,-2.35694444444444,36.8463888888889
"6329X","","CABO DE GATA","ALMERIA",42,-2.19305555555556,36.7219444444444
"6332X","08488","CARBONERAS","ALMERIA",16,-1.90361111111111,36.9802777777778
"6332Y","08488","CARBONERAS","ALMERIA",222,-1.90694444444444,36.9422222222222
"6335O","","NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA","ALMERIA",970,-2.69916666666667,37.11
"6340X","","GARRUCHA","ALMERIA",28,-1.82861111111111,37.1691666666667
"6364X","","ALBOX","ALMERIA",508,-2.15138888888889,37.4066666666667
"6367B","08428","HU<U+00C9>RCAL-OVERA","ALMERIA",300,-1.94361111111111,37.3905555555556
"6375X","","FUENTE DE PIEDRA","MALAGA",420,-4.74194444444444,37.1322222222222
"6381","08490","ALBOR<U+00C1>N","ALMERIA",15,-3.03611111111111,35.9383333333333
